influencer_id,platform,date,URL,caption,reach,likes,comments
301,Instagram,2025-06-09,https://graves.com/,Which money project order food.,38638,9612,80
292,Instagram,2025-06-23,https://robinson.net/,Exactly system avoid property general size thing front can.,44784,4281,274
137,Twitter,2025-05-15,http://www.thornton.info/,Physical eight simply serious wrong section.,19476,5029,127
97,Instagram,2025-06-11,http://www.charles.com/,Different senior contain debate summer continue action argue yeah few.,9817,2647,198
424,Twitter,2025-06-27,https://www.ortega-campos.net/,Answer whether give recent me capital media too ago.,45544,2270,315
162,TikTok,2025-06-22,http://www.wu.com/,Above woman focus small anyone particular free every bad us affect.,43979,7696,196
88,YouTube,2025-05-29,https://fernandez.net/,Picture turn ball indeed all.,47828,3713,185
53,TikTok,2025-05-02,https://sutton-duarte.com/,Change good house Republican glass without impact painting fly big.,19253,4105,26
109,TikTok,2025-06-04,http://rogers.com/,Company threat training share audience idea mother significant next.,33071,4362,317
45,TikTok,2025-06-08,http://www.jackson.com/,Game itself short environmental positive one father best always.,15132,1782,208
382,YouTube,2025-06-17,https://www.riley.com/,Serve suffer lay claim five indicate author study even.,15372,500,60
353,TikTok,2025-06-15,http://www.oliver.com/,Because best here ball condition rate.,45051,8882,78
161,TikTok,2025-05-27,http://bradford-baker.biz/,West consumer free democratic.,45382,3112,97
285,Instagram,2025-05-26,http://neal.com/,Difference tend recognize which within chair yeah.,35758,1614,216
422,Twitter,2025-05-31,http://smith.org/,Son draw coach occur crime offer live money police.,21665,871,459
304,TikTok,2025-05-02,http://lawrence.biz/,Total final political amount mother mention possible.,36447,9990,194
497,YouTube,2025-06-29,http://mcdonald-harper.com/,Least sit design later he go.,14352,6708,408
461,TikTok,2025-06-15,http://jackson.com/,Order simple read while media decade number whose.,16269,5816,94
82,Twitter,2025-07-01,http://chase.com/,Else may keep director similar test economic.,9491,9937,110
315,YouTube,2025-05-06,http://www.wallace.biz/,Reach north card federal.,17618,5661,343
318,Instagram,2025-06-12,http://mccullough.com/,One change meet three old ahead man note Congress kitchen.,9078,9721,380
255,Twitter,2025-05-02,http://perkins-navarro.info/,How those main fear enough and bad reason.,46936,3207,139
291,YouTube,2025-07-14,http://cox.org/,Watch recently score public trip.,32614,7113,226
431,TikTok,2025-06-01,https://wilson.com/,Bed nor western opportunity stop report.,16778,4076,292
315,TikTok,2025-04-27,https://garner.info/,Write return soldier board how card item expect either particular.,11266,3537,61
187,TikTok,2025-06-05,http://www.richardson-anderson.net/,Good interest imagine country process bring rock.,47100,412,126
386,Instagram,2025-06-26,http://www.holmes.info/,Scientist ready factor leader politics sea training.,40207,973,60
89,Twitter,2025-06-06,http://oliver.com/,Fear either rate indeed to goal practice own.,34525,7217,175
444,YouTube,2025-06-12,https://hooper.biz/,Analysis light professor hundred positive drug together economy voice.,12819,8381,382
390,TikTok,2025-05-26,http://www.austin.biz/,Serve evening mission center south stop reflect weight perhaps.,28481,9959,28
25,YouTube,2025-07-13,http://www.hamilton.net/,Painting their really light unit relationship who save matter executive.,37011,2454,115
53,Instagram,2025-05-18,http://glover-choi.com/,More response top medical world address according within.,39752,6154,167
468,TikTok,2025-07-15,http://www.burton.com/,Traditional community president order fine evening will.,32664,695,83
380,Instagram,2025-07-08,https://walker.org/,Service manager type this left month daughter shake his own.,25260,8397,488
78,TikTok,2025-05-26,https://www.gray-wagner.com/,Campaign product hot appear.,46787,7959,342
114,YouTube,2025-07-16,http://www.campos.net/,Address require such arm prevent leg ask.,28796,2350,150
388,Instagram,2025-05-11,http://quinn-king.com/,Want across go attention rich try college nature himself.,48623,5530,420
456,TikTok,2025-05-31,http://maddox.info/,Seek rock answer major president player.,4905,1743,439
482,TikTok,2025-06-01,http://www.rodriguez-martinez.com/,Beat watch conference dog course station.,10078,5250,284
348,TikTok,2025-07-03,http://www.williams.com/,Lose personal for above concern war else police.,49292,4245,156
312,Instagram,2025-06-28,https://www.doyle.com/,Itself leg rule perform politics mission enter product.,12149,877,494
258,Twitter,2025-06-02,http://morris-wade.com/,Now share owner I candidate both practice.,44425,4108,434
145,Twitter,2025-05-29,https://taylor.com/,Positive because break artist.,19804,8148,280
196,Twitter,2025-06-05,http://www.robbins.com/,Practice around glass blue thing.,8275,3347,421
304,YouTube,2025-06-21,https://www.turner.net/,Would dog parent assume kid just rest bill issue.,2016,2808,117
482,TikTok,2025-05-21,http://www.david-thompson.info/,Wind source small lead anyone relate.,2339,569,365
411,YouTube,2025-05-12,http://www.graves-kelly.com/,Per event job office responsibility drive consider expect.,11724,5243,293
467,TikTok,2025-05-03,http://www.walker-jordan.com/,One great south image beat sell.,43644,5165,59
348,Twitter,2025-06-29,http://www.alvarado-reynolds.biz/,By year particularly offer investment feeling feel feel.,9410,9978,298
102,TikTok,2025-04-25,https://www.ramos.org/,Couple system production positive party particularly somebody risk material father.,10713,6195,309
290,Instagram,2025-05-23,http://jones.com/,Lawyer war vote development base drug attention nice right involve.,27897,9640,64
352,TikTok,2025-06-10,https://www.stuart.net/,Second image cold laugh very his.,32087,6279,130
169,Instagram,2025-06-12,http://www.thomas.com/,There executive over yard thing keep fly.,1828,9212,351
95,TikTok,2025-05-11,https://www.allen.com/,Fine explain first prevent particularly health.,46252,2379,402
262,YouTube,2025-05-09,https://www.evans.net/,Fire civil air road serve whom majority during change.,31369,8989,45
262,Twitter,2025-05-07,http://solomon.com/,Although notice short answer environment.,9017,3773,207
28,Twitter,2025-06-01,https://bell.com/,Word number book number its many central media require.,48029,1445,139
136,Instagram,2025-05-13,https://www.burke-murray.biz/,Front minute wear activity space rate center.,4577,8066,180
129,YouTube,2025-07-20,https://jackson.com/,Too fear keep growth find almost commercial rather open to.,20042,6603,163
336,TikTok,2025-06-13,http://www.hall.net/,Face compare although foreign option short group clearly kid.,25411,3087,78
490,TikTok,2025-06-05,https://meza.com/,Maintain weight ten team.,5805,1296,288
467,Twitter,2025-06-11,https://reyes-grant.net/,Pass buy another partner but special discover oil cell within enjoy.,13377,565,69
274,Twitter,2025-07-12,http://davis-hernandez.com/,Many tonight along establish week build bed else treat.,14009,5909,399
222,Twitter,2025-05-29,http://boyle.net/,Fire several care unit federal form something eye policy.,13189,4394,70
336,YouTube,2025-07-06,http://fisher.org/,Address represent everybody four action keep indicate southern together enter.,26534,4010,330
481,Instagram,2025-06-11,http://www.hayes.com/,Medical manage and church choice very among to research.,30791,1115,364
123,Twitter,2025-05-20,https://www.perry.org/,Page down why red natural source mother particularly benefit party loss.,36825,4537,392
92,Twitter,2025-07-16,https://howe.net/,Who company choice maybe party various hundred who how.,27329,3254,50
431,Twitter,2025-05-11,https://bailey-carroll.biz/,Summer election control affect point position seat push.,47805,5057,362
464,TikTok,2025-05-16,http://parker-may.com/,Game pay let small name politics condition exactly choose explain.,40201,9452,291
11,Instagram,2025-04-29,https://taylor.com/,Far financial agent oil program send fill house rather buy sure.,2142,262,482
6,Instagram,2025-05-08,https://ward-williams.org/,Quality before author total trip.,45662,4861,278
398,Instagram,2025-06-18,http://deleon-jones.net/,Language imagine plant rule head soldier back impact voice nothing.,42008,4374,90
368,Twitter,2025-06-12,https://jimenez.com/,Either stay baby performance.,48627,3324,409
228,TikTok,2025-06-01,https://wolfe.info/,Over town bill spring couple major all finally.,7293,7835,136
22,Instagram,2025-07-16,http://www.richards.net/,Into my all may speak.,45500,8074,309
488,TikTok,2025-06-25,http://www.atkins.com/,Mother human four many society parent fund.,1311,7910,167
215,Instagram,2025-06-19,http://www.johnson.info/,Now order loss change while.,13952,5697,139
415,Twitter,2025-06-13,http://www.wilson.com/,Wait determine box make low drug small.,12713,5793,333
284,YouTube,2025-06-30,http://campbell.net/,Since thing product person name once machine.,9186,9029,214
403,YouTube,2025-06-10,http://www.carroll.com/,Rule television purpose anyone talk good.,27240,6950,47
115,TikTok,2025-06-02,http://brown.info/,Candidate own city how could.,21681,1323,474
214,Twitter,2025-05-02,https://www.perez.com/,West gas enjoy baby.,41309,2462,160
385,Instagram,2025-07-19,https://www.simmons.com/,Opportunity word fall total run.,47753,8969,38
451,TikTok,2025-04-24,http://hawkins-nolan.biz/,Trial image character poor end professional rest consumer four manage.,12652,6971,66
456,Instagram,2025-05-15,https://www.butler-jones.info/,Item father blood agreement ability rather world.,9976,7060,322
141,TikTok,2025-07-08,http://charles.net/,Ago just idea change form after another either data.,46696,4119,210
179,Instagram,2025-06-26,http://flores.info/,Store democratic music perform open.,1461,3028,280
1,Instagram,2025-07-08,https://crawford.com/,Building indeed full guy base source.,18413,465,331
29,Twitter,2025-07-19,https://www.lawson-walker.biz/,Out now myself same detail.,40754,9306,230
397,Instagram,2025-07-12,http://www.shaw-newman.com/,Financial window pay feel military better between sound.,39950,2115,363
298,YouTube,2025-06-21,http://garza-reyes.net/,Option surface question available red respond.,32674,1888,346
285,YouTube,2025-04-25,https://www.campos.com/,Always which market teach resource yes but.,18043,8596,87
350,YouTube,2025-07-05,https://www.munoz.com/,Well vote continue teacher option low church partner we she meeting.,40763,5319,216
400,Instagram,2025-07-21,https://jackson.biz/,Number daughter build four teacher back form response plan morning.,21180,510,99
316,YouTube,2025-07-11,https://www.heath.com/,Short follow road year hair miss Mr assume.,33703,439,235
105,TikTok,2025-04-23,http://www.anderson.com/,Film wonder science board black hotel say.,8797,4184,460
162,Instagram,2025-06-07,https://price.com/,Also explain wall employee another even growth marriage attack condition create.,38928,8884,411
40,YouTube,2025-05-31,http://holloway-french.org/,Create two available picture understand these case.,45150,3825,494
451,Instagram,2025-05-27,https://pena.net/,Give former white turn word morning seat entire.,2625,203,493
349,Instagram,2025-06-19,http://www.wood.com/,Fly cup more student indicate.,13610,7806,326
222,YouTube,2025-05-23,http://www.duke.net/,Former leg however style one society remember risk partner total.,16141,2849,304
439,TikTok,2025-04-30,https://robinson.com/,Land rather enjoy close indicate.,20688,351,272
442,Instagram,2025-07-11,http://www.butler.com/,Soldier analysis important cold happen decide child effort mention catch region.,4109,5951,96
52,Instagram,2025-06-09,https://king.com/,At page war identify marriage try beat senior street.,39171,2831,110
64,Instagram,2025-04-25,http://www.green-bradley.net/,Information avoid policy international newspaper surface activity.,40689,9504,389
482,TikTok,2025-05-23,http://dennis-cochran.com/,Decision worker buy choice pretty trade.,28799,6446,291
4,Twitter,2025-06-22,http://martin-dennis.com/,Woman just stuff hope serious ago reality full street.,31525,1631,125
432,TikTok,2025-05-06,http://robinson.biz/,Either call door answer standard.,47695,857,344
456,Twitter,2025-06-18,https://smith.com/,Attorney lose both until next imagine early mission.,23195,4986,417
367,YouTube,2025-06-10,https://www.duarte-bailey.biz/,Woman second interest difficult all general region race thank third.,11607,1014,221
496,Instagram,2025-07-04,https://costa.com/,Professional enjoy direction wish low that fact.,8238,6363,430
18,TikTok,2025-07-07,http://smith-meza.com/,Recent option significant two onto somebody way.,1214,6236,225
342,TikTok,2025-04-25,http://gibson.biz/,Right leg ever whole PM attorney PM bad produce stock.,43846,3663,471
10,TikTok,2025-05-11,https://rodriguez.org/,American find remain specific hand interview home risk.,40163,5412,361
371,YouTube,2025-05-12,http://mcintosh.org/,Civil himself both organization occur around reason.,39638,7905,236
270,YouTube,2025-05-01,https://scott-hanson.info/,According scientist remain ahead there determine mind bag property.,9101,8476,288
435,Twitter,2025-07-17,http://www.king.com/,Hope box job make or teacher.,41849,1273,426
374,YouTube,2025-07-01,http://mullen.com/,Hot understand measure recently grow book.,27567,5646,395
366,Instagram,2025-05-08,https://wang.com/,Force Republican all those question scientist method impact next list.,21834,6501,261
351,TikTok,2025-07-16,http://patrick-whitney.com/,Firm idea fly turn product floor case close.,7127,7724,214
99,Twitter,2025-05-01,http://aguilar.net/,Prove draw middle career few control door.,8184,1514,167
302,TikTok,2025-06-29,http://www.walters.biz/,Subject fight only form.,28595,6099,454
194,Twitter,2025-06-17,https://valencia.com/,Strategy season always local response step evidence stop.,18782,376,491
317,TikTok,2025-06-11,http://www.smith.com/,Big rather blood others parent other those.,16590,350,84
386,TikTok,2025-05-25,https://www.gonzalez-weaver.net/,Agent such her several seek here former develop stage change attorney.,27197,214,494
419,Twitter,2025-05-14,https://www.ellis-hall.org/,Point second church realize police statement person trip billion expert.,35677,9236,405
34,TikTok,2025-07-17,https://www.rose-davis.com/,Girl dark behavior up need parent last explain oil car poor.,19228,6381,91
349,TikTok,2025-06-01,http://blevins.net/,Myself similar hand season plant.,19427,8551,477
326,YouTube,2025-06-25,http://www.mclaughlin.com/,Almost science but late business significant only.,15213,6819,314
452,Twitter,2025-05-02,https://schwartz.com/,Newspaper analysis law receive consider gas throughout site.,37545,3827,342
65,YouTube,2025-05-07,http://www.reyes-tucker.com/,Hospital technology more mention loss official change want miss listen.,5740,1619,399
163,YouTube,2025-05-11,https://www.jones.com/,Painting phone send fact.,5993,3177,275
176,YouTube,2025-05-25,https://harper.com/,Surface sell big process its onto federal side away discussion.,22181,715,454
47,YouTube,2025-07-10,https://www.chase-richards.com/,Each tell yard Mr husband of attention somebody.,13386,3692,490
218,TikTok,2025-05-13,https://thomas.com/,Indicate site short sound name reason business simple.,42860,863,443
221,Twitter,2025-06-21,http://choi.org/,Increase stage should road nor decision field skill society.,48518,6787,456
11,TikTok,2025-06-14,http://golden.com/,True near white western evening share after technology information.,12344,1545,13
190,Instagram,2025-06-13,http://www.kelly.com/,Behavior nature thought product keep area.,2726,5249,397
371,Instagram,2025-05-05,https://long.biz/,Poor from assume wall machine painting white car cause hundred.,3010,8241,370
388,YouTube,2025-05-04,http://www.rodriguez-martin.biz/,Last expect level member house animal.,16090,9616,174
86,TikTok,2025-06-29,https://www.lester.biz/,Clear than yourself church coach keep quality toward human month out.,20785,2517,243
33,YouTube,2025-04-26,https://williams.com/,Treat career camera agree group out southern only science four.,47411,1024,213
418,Instagram,2025-07-09,http://dyer.info/,Card first six country walk ahead law sometimes act leader.,32861,1855,381
95,YouTube,2025-07-02,https://www.pierce.org/,New say name reason until image.,31225,9465,462
330,TikTok,2025-05-29,http://www.west-gonzalez.biz/,Water building cup anyone no.,23732,8066,448
419,Instagram,2025-06-21,https://carlson-frazier.org/,Capital yeah analysis process us where success commercial.,36256,4835,226
181,YouTube,2025-05-24,https://www.rios.com/,Investment difficult catch clearly mother discussion.,11951,1652,226
284,Instagram,2025-07-08,https://www.powell-wise.info/,World brother stop specific seem sound.,39754,6100,42
23,Instagram,2025-05-29,https://harris-walker.com/,Story me without break space about.,11614,6368,317
49,Twitter,2025-05-16,https://hayden.com/,Happy food vote product series.,33061,7321,456
332,Instagram,2025-05-14,http://baxter.com/,Wait set show recognize use recent commercial home son building.,38630,9906,88
221,Twitter,2025-06-01,http://stanley.com/,Far include effect present say order occur cold total.,40299,259,477
2,TikTok,2025-06-16,https://www.young-cardenas.com/,Road car PM thing color.,34725,9471,496
77,TikTok,2025-06-16,https://www.henderson.com/,Travel his who dinner green understand organization enough this off.,42876,494,341
356,Instagram,2025-07-10,http://duran-miller.com/,Gun same risk half several cost force ability suggest.,32547,7690,471
111,YouTube,2025-07-06,https://khan.info/,Onto perform kitchen sport poor popular government.,37715,7156,159
154,TikTok,2025-07-07,http://hoover-martin.com/,Pay star court role modern visit.,48182,5039,225
145,YouTube,2025-07-14,http://www.taylor.com/,Analysis rule during person water protect just cause.,9673,2006,469
299,TikTok,2025-06-19,https://logan.com/,Truth face value probably sit weight.,40573,2518,221
97,Instagram,2025-06-27,https://reese.com/,Allow effect why spring send truth oil.,48296,7980,249
315,Twitter,2025-05-27,https://www.martin.com/,Say tonight color finish despite coach individual property.,40506,8061,485
377,Twitter,2025-05-27,https://www.howard-brooks.com/,City teach very behavior entire identify whom wide yeah.,37735,8615,449
214,YouTube,2025-07-03,https://johnson.net/,Word ability ball her nice safe suffer answer difference science.,12725,9974,468
322,YouTube,2025-07-01,https://www.cabrera.info/,Notice me west movie oil necessary option them social.,16912,7792,223
74,TikTok,2025-06-20,http://anderson-murphy.net/,Story fire might learn pass effect vote senior.,12423,4707,379
295,YouTube,2025-07-20,http://smith.com/,Start within case pay care plant respond security.,36266,4480,362
26,Instagram,2025-05-19,https://jenkins.com/,Wait surface short catch many six minute not traditional program.,6682,1945,451
222,Twitter,2025-05-07,http://bradford-green.info/,Political yeah offer response such own couple same.,2133,2732,471
406,Instagram,2025-07-09,https://www.hunt-harris.info/,Type here ago outside your enter record lawyer material policy action.,33847,8011,470
203,YouTube,2025-07-11,https://mcintyre-gilbert.com/,American event situation for hot try central past those candidate.,41452,5418,162
278,Instagram,2025-07-15,http://www.david.info/,Power now want account item.,38689,4216,497
344,YouTube,2025-05-19,https://www.thornton.info/,Bag small interest official shake fear go less reality responsibility.,39800,5717,217
442,Instagram,2025-04-27,http://ayala.org/,Main bag production ground style strategy friend morning easy.,44481,6928,487
29,Twitter,2025-05-09,https://wells.com/,Eight which design respond development believe.,47703,2488,266
115,Instagram,2025-07-14,http://www.noble.com/,Score discuss born worry another while adult eight our.,24656,3368,37
266,Twitter,2025-06-16,http://www.calderon.biz/,Anything already him president agree total use east maybe.,35877,2987,232
482,YouTube,2025-06-20,https://www.mcdonald-white.info/,Media especially later the everyone oil direction speech return.,23534,688,109
110,YouTube,2025-07-07,http://stewart.info/,Cost site produce guess enough trade decide.,7268,1042,441
153,YouTube,2025-07-07,https://morales.biz/,Around know ability respond capital example operation dinner member.,39419,9859,374
405,Instagram,2025-06-24,https://www.lewis.com/,Within together vote example about memory.,15274,3207,123
445,Twitter,2025-07-13,https://www.hernandez-hutchinson.info/,Artist run art region contain include around usually itself sister.,39255,1812,459
118,Twitter,2025-05-10,https://ward.com/,Even happy life wait many alone four popular.,47513,506,320
123,Instagram,2025-04-29,https://www.guzman.info/,Side short across seem including reflect family authority.,13102,4101,115
423,Instagram,2025-05-11,https://www.oneal-foster.com/,Development certain down while newspaper ability front wife own.,44614,7413,366
205,Instagram,2025-07-11,http://james-moyer.com/,Military most glass traditional out hard right trouble.,30104,9146,116
322,Instagram,2025-07-21,http://garcia-scott.net/,Carry option research executive report state build art.,17642,7649,139
251,YouTube,2025-07-17,https://www.ellis-may.com/,Record pattern other modern right job design.,21341,5349,426
134,YouTube,2025-06-10,http://dyer.com/,Own build bank trade sense coach benefit network country.,32167,9982,314
252,YouTube,2025-06-01,http://www.fernandez-porter.com/,Wife data step development family public visit six spring.,5653,8706,173
1,Twitter,2025-04-24,https://miller-marquez.biz/,Yes down rule recent history.,39736,6675,167
284,Twitter,2025-06-23,https://dean-romero.biz/,Lose space though growth capital doctor writer growth.,24410,8121,253
214,Instagram,2025-07-03,https://www.reid-davis.biz/,Bar important current central while from foot.,31613,4264,491
395,YouTube,2025-05-31,http://smith.org/,For red image assume school.,20891,9358,155
423,TikTok,2025-05-30,https://www.levine.com/,Party white recent why whose pressure threat.,49164,3626,429
124,Twitter,2025-07-03,https://sanchez-rodriguez.com/,Official like call enjoy sell just.,25188,7413,137
197,TikTok,2025-05-07,http://bradshaw.com/,Person name care task half work person.,41898,293,33
402,YouTube,2025-05-13,http://jones-dunn.biz/,Process country difficult training lead bad yes allow leader all.,9623,898,127
20,TikTok,2025-07-04,https://burch.com/,They look cultural bring as behavior.,44421,5282,138
332,Twitter,2025-06-21,http://www.conner-hernandez.com/,Anything use cut like discuss actually.,10824,6527,183
469,TikTok,2025-05-21,http://blackburn-brown.net/,Police practice memory prevent.,34578,3878,33
347,TikTok,2025-06-19,https://www.aguilar.biz/,Someone Congress how yet now tree common beat difference.,7281,8684,286
314,Instagram,2025-07-20,https://www.ryan.com/,In sister place senior forward positive operation change team thousand.,12590,1732,38
434,Instagram,2025-05-15,https://www.ball-morales.net/,Girl wish worker one hand or explain.,44983,127,214
169,YouTube,2025-06-05,http://berry-barr.com/,Theory together carry other far.,41799,3931,73
98,TikTok,2025-06-17,https://clark-murphy.info/,Plant author yet follow low various happy.,25526,2037,275
146,TikTok,2025-07-05,http://www.barnett.com/,Throughout degree Mrs agent Democrat.,27095,1084,150
162,Twitter,2025-04-25,http://www.graham.com/,Want member defense field move bank take.,14122,2920,404
66,YouTube,2025-07-21,https://www.walton-perez.biz/,Stand myself under coach maintain son spring street development.,31163,908,111
245,Twitter,2025-06-01,https://walker.biz/,Bag think whatever including sort especially stand book add century.,4297,7889,128
462,YouTube,2025-07-10,http://white.net/,Perform partner fill any human business.,8406,1325,195
359,Twitter,2025-05-05,https://www.garner.com/,Trade agreement tend model song risk mother.,9365,1324,271
321,YouTube,2025-07-19,https://www.hernandez-moses.com/,Let pretty sit here relate start popular record.,32912,472,444
126,TikTok,2025-06-06,http://www.mills-owens.com/,Put finish eye pretty memory address line.,47083,3493,275
220,Instagram,2025-05-14,http://hensley.com/,Officer another often however exist design feel.,16751,2476,457
361,YouTube,2025-05-19,https://www.johnson.biz/,Foot into expect magazine eye seek political today result daughter.,27121,3803,342
283,YouTube,2025-05-25,https://carter.org/,Decade inside story market already old.,49240,1302,377
30,TikTok,2025-06-04,http://www.price-ortiz.com/,Father enter hit reflect be couple.,41037,8484,123
86,YouTube,2025-07-13,https://brock.biz/,Land home money piece look science continue when maybe operation.,36332,4664,428
332,Instagram,2025-05-16,http://www.reyes.com/,Light establish decide bag affect.,31793,1365,120
256,YouTube,2025-06-18,https://rice-hickman.com/,Recently ground young today card style father thought price.,42561,5640,479
385,Instagram,2025-07-10,https://www.christian.info/,Pretty under prove term rate central live blue movement through note.,49240,5898,282
225,Twitter,2025-05-30,https://www.diaz.com/,Identify book dinner institution least reflect wide.,34871,4772,12
297,TikTok,2025-04-29,https://hopkins.biz/,Share else memory present performance address I reduce.,30114,4628,261
240,Instagram,2025-06-15,http://www.miller.com/,Shake body success present.,44449,5617,265
369,TikTok,2025-06-07,https://allison-wilkinson.com/,Mean now point one actually hour surface.,10104,2443,167
446,TikTok,2025-07-01,http://www.kim-santos.com/,Upon trip information effect cut hospital support democratic choose which.,4355,403,491
257,Instagram,2025-07-16,http://www.simon.com/,Necessary boy charge past artist use way drug response such.,27769,2563,292
133,Instagram,2025-06-23,https://www.riggs.com/,Move care sit manager interview.,36635,3131,182
432,Instagram,2025-06-12,http://stevenson-johnston.com/,Money cost local law gun too pull add response computer.,9761,1930,397
133,YouTube,2025-07-10,http://williams-howard.org/,Probably bank occur nor through serious social.,28304,654,426
71,TikTok,2025-05-03,http://www.gordon.com/,Skill decade feeling dream usually.,33458,9754,436
340,Twitter,2025-07-18,http://johnson.org/,Player effort physical serve what.,33481,2703,424
282,YouTube,2025-06-13,https://thompson.org/,Father camera imagine when too drive nor wait arrive.,40405,9393,284
305,Twitter,2025-05-26,http://www.patterson-lin.com/,Nor collection generation defense development church rock.,9782,7599,148
326,YouTube,2025-04-27,https://www.holt.info/,Reduce yeah issue many draw financial customer difference commercial house.,36584,486,46
90,TikTok,2025-05-09,http://cooper.com/,Share long environmental hotel reason.,44360,6250,344
317,YouTube,2025-05-22,http://www.coleman.org/,Fast front can significant down network vote computer step scientist.,16432,7096,349
259,Instagram,2025-06-03,http://henderson.com/,Start behavior according situation hospital pull end stage.,33363,5789,454
167,Instagram,2025-06-06,http://www.herman-wallace.biz/,Choice class soon those rest staff against main.,36472,4030,366
78,Twitter,2025-05-23,http://wilson-thompson.com/,Thousand purpose ball remain hard then difficult everyone.,5558,9709,465
177,Twitter,2025-04-28,https://www.kirby-holmes.com/,Build fast maybe evening research meeting.,28907,8813,267
270,YouTube,2025-07-05,https://www.brewer.net/,Eight cut since research office standard great participant parent since.,32844,7437,239
20,YouTube,2025-07-02,http://miller-brooks.com/,Environmental article bad seven interest skill.,30509,2181,187
442,YouTube,2025-05-02,http://www.strickland-barr.biz/,Call think because network later consider baby we.,3454,5023,36
428,YouTube,2025-07-02,http://rogers-browning.com/,Fine these not first staff brother fight want.,35397,9445,187
137,Twitter,2025-06-01,http://williams.com/,Leader after property sound Republican land late discussion go her.,33128,6956,215
191,Twitter,2025-06-09,http://www.russell.com/,Matter guy man forward culture.,25060,8296,289
446,TikTok,2025-06-28,http://stanley.com/,Against one simple assume chance myself news feel.,20132,6269,108
262,YouTube,2025-06-09,http://www.tyler.com/,Court response between organization political commercial reduce type late certainly.,43901,6743,293
450,TikTok,2025-04-27,http://www.villarreal-nguyen.info/,Area note herself stop who approach call vote trade.,34984,6988,321
102,Instagram,2025-05-13,http://turner-davis.com/,Common early improve similar building employee.,32610,1458,299
105,YouTube,2025-05-22,https://smith-noble.com/,Which let establish according technology less program relationship us.,27424,3580,90
299,TikTok,2025-05-12,http://moon.info/,Lose fire want government present federal nice.,36864,1917,170
